"symbol__gene_id","gene_id","module_color","module","FTA2_S7_L001","FTB2_S8_L001","FTC2_S9_L001","FTD2_S10_L001","FTE2_S11_L001","FTF2_S12_L001","GCA2_S1_L001","GCB2_S2_L001","GCC2_S3_L001","GCD2_S4_L001","GCE2_S5_L001","GCF2_S6_L001","band","chromosome_name","start_position","percentage_gc_content","transcript_count","gene_biotype","description","entrezgene_id","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons","symbol","set"
"CYP86A4__AT1G01600","AT1G01600","turquoise","1",3.28322502075617,5.28244025224708,4.38691900109432,4.40933212884069,4.95506686463088,3.17244286287282,2.92330472536717,4.31048242198001,2.8876767722508,3.15134848235194,3.40331093668934,3.59499702430447,NA,"Chr1",218834,NA,1,"protein_coding","cytochrome P450, family 86, subfamily A, polypeptide 4",NA,2453,1665,2453,366,292,2,"CYP86A4","List"
"SBTI1.1__AT1G01900","AT1G01900","turquoise","1",3.95145672093534,6.03961131255388,6.19728402132449,4.94635591404178,5.31118693356907,4.17344877832975,5.62703358892846,5.37574929021121,5.44876001896883,5.01489834176674,5.5475750650151,3.72667626196656,NA,"Chr1",310169,NA,1,"protein_coding","subtilase family protein",NA,2962,2325,2962,163,119,2,"SBTI1.1","List"
"WEE1__AT1G02970","AT1G02970","turquoise","1",4.64555312962501,5.60789976958527,5.10680141304747,3.8620682090579,4.28090168095409,2.80929765959695,4.45477398239619,5.19052404789144,4.3125412629073,3.67725359482565,4.2745652891338,3.28896552670609,NA,"Chr1",673306,NA,1,"protein_coding","WEE1 kinase homolog",NA,3114,1503,3114,102,292,10,"WEE1","List"
"__AT1G04040","AT1G04040","turquoise","1",6.50756221606577,8.91061324640717,8.24158116974085,6.89474775434923,7.96614934174129,7.10242904239301,6.8623971488128,9.32045276139754,9.96148865339299,7.64653158780957,7.41533075837406,7.58673492702258,NA,"Chr1",1042362,NA,1,"protein_coding","HAD superfamily, subfamily IIIB acid phosphatase ",NA,1526,816,1526,68,202,3,"","List"
"__AT1G04680","AT1G04680","turquoise","1",7.08652728284735,9.12011472729841,8.2616062570048,6.49578579366961,7.76963810587354,5.86219809839156,7.05625231303707,8.63498367011694,8.71434307817286,7.58179178683518,7.62221753361499,7.28943369654053,NA,"Chr1",1303467,NA,1,"protein_coding","Pectin lyase-like superfamily protein",NA,4507,1296,4507,193,585,6,"","List"
"RCI3__AT1G05260","AT1G05260","turquoise","1",3.1341247006481,4.56672191421659,2.88446378102758,3.76371454300979,3.86932796390693,3.00226627293868,2.3771994527339,4.48177158101729,4.39258434333166,3.78342659382215,4.2745652891338,2.36592268146661,NA,"Chr1",1529767,NA,1,"protein_coding","Peroxidase superfamily protein",NA,1718,981,1718,60,213,4,"RCI3","List"
"UGT74E2__AT1G05680","AT1G05680","turquoise","1",5.77246084774095,2,6.75579072792476,5.11541313242777,5.37966274073747,5.04837489878882,5.480241486737,3.41552852223501,5.59126359991499,5.3272540026847,6.48452679300357,5.83597013190049,NA,"Chr1",1703002,NA,1,"protein_coding","Uridine diphosphate glycosyltransferase 74E2",NA,1837,1362,1837,199,194,2,"UGT74E2","List"
"__AT1G06360","AT1G06360","turquoise","1",6.59575185440084,8.70930173494808,7.99596647917432,6.78619980897919,7.6706242158482,5.86219809839156,7.26124002825167,7.25972359746044,6.59923707203565,7.09664240362366,6.94886273259461,5.35594345501498,NA,"Chr1",1938862,NA,2,"protein_coding","Fatty acid desaturase family protein",NA,1635,924,1616,38,309,5,"","List"
"ATOBGM__AT1G07620","AT1G07620","turquoise","1",2.77981622109524,2,4.38691900109432,3.42061666562067,2.78552167065742,2,2.3771994527339,3.62502169321257,4.6090849138859,2,2.34956895221554,2.36592268146661,NA,"Chr1",2344390,NA,4,"protein_coding","GTP-binding protein Obg/CgtA",NA,2500,1678,2373,182,166,4,"ATOBGM","List"
"__AT1G08103","AT1G08103","turquoise","1",4.47000149355876,4.45336602539599,4.32736319368172,3.54427291050152,2.56800971751877,3.46231534866231,3.13440010428144,2.27315396570801,2,2.79304560190314,4.1010309351639,2.36592268146661,NA,"Chr1",21052299,NA,1,"long_noncoding_rna",NA,NA,880,NA,880,NA,NA,2,"","List"
"ALMT1__AT1G08430","AT1G08430","turquoise","1",4.53092329998603,8.91329499921214,9.33577769669242,4.53391863648436,5.83472308343612,4.09092746605148,4.80247511810347,9.20901460400706,8.17824295680263,4.49585214076155,5.02302050220946,5.08853930698387,NA,"Chr1",2658602,NA,1,"protein_coding","aluminum-activated malate transporter 1",NA,2709,1482,2709,198,281,6,"ALMT1","List"
"__AT1G08757","AT1G08757","turquoise","1",3.76116064390409,2.53375515896264,5.14179647629672,2.30984126106683,2.97449553209416,2.32283503130743,2.92330472536717,4.11608152963687,4.46841897190053,2.98329193367204,3.24543442317476,2,NA,"Chr1",24339371,NA,1,"long_noncoding_rna",NA,NA,784,NA,784,NA,NA,1,"","List"
"NAS3__AT1G09240","AT1G09240","turquoise","1",8.47865143756494,5.4689847139895,6.74445119628313,7.34939487269636,6.95016853875779,6.83726033409147,7.82982405462799,6.47648369076563,7.20912416047326,7.5445289297146,7.5897316702237,8.64423135808473,NA,"Chr1",2984829,NA,1,"protein_coding","nicotianamine synthase 3",NA,1403,963,1403,121,319,1,"NAS3","List"
"__AT1G09470","AT1G09470","turquoise","1",4.69962413703302,5.43952130393009,5.24195965997831,3.28535949585043,3.96157220207526,2.80929765959695,4.09996830698787,3.62502169321257,3.70804804057544,5.01489834176674,3.54560226389378,2.90003920100746,NA,"Chr1",3055231,NA,3,"protein_coding","None",NA,2313,1009,2076,251,158,6,"","List"
"__AT1G09500","AT1G09500","turquoise","1",8.7809746802532,4.51115701285999,7.5119307543725,8.7751269462017,7.85027553966071,7.89927075461496,8.51636033218541,8.04516777670972,7.97225115473068,8.00033019071487,8.56217122197634,8.84235023999135,NA,"Chr1",3066674,NA,3,"protein_coding","NAD(P)-binding Rossmann-fold superfamily protein",NA,2123,897,1932,274,235,4,"","List"
"__AT1G10340","AT1G10340","turquoise","1",3.28322502075617,3.88211664811604,3.98596457225831,4.04069150523463,5.08379091390704,5.13329512838949,4.19717904383482,4.04498927721804,3.93884316736624,3.30185506933204,2.86595017324234,5.68222809665629,NA,"Chr1",3390322,NA,2,"protein_coding","Ankyrin repeat family protein",NA,2312,1731,2258,98,153,3,"","List"
"XTH8__AT1G11545","AT1G11545","turquoise","1",5.72109990278753,7.93580473201482,6.9360603736849,6.46481688518216,7.44154906539535,6.2522184910585,5.91115976175433,8.19224534236349,7.66091340615995,6.64014641368766,6.10237363048067,5.08853930698387,NA,"Chr1",3878495,NA,1,"protein_coding","xyloglucan endotransglucosylase/hydrolase 8",NA,1897,918,1897,105,194,4,"XTH8","List"
"HRS1__AT1G13300","AT1G13300","turquoise","1",4.03795121375176,2.74117675152558,5.24195965997831,5.46753965473897,5.44503516715695,6.73227879857152,3.13440010428144,4.81659095982462,5.01523927388083,3.15134848235194,2.63074070357094,4.82024367958644,NA,"Chr1",4556878,NA,1,"protein_coding","myb-like transcription factor family protein",NA,1916,1035,1916,99,202,5,"HRS1","List"
"CYP79F1__AT1G16410","AT1G16410","turquoise","1",7.10667914785938,6.84583789508604,7.86072170849081,6.28147499251181,7.15940086714683,4.52730431743949,5.59171192102259,8.6884452222447,9.1654018983977,6.4914278418966,8.21878514979197,4.49038760156021,NA,"Chr1",5608682,NA,2,"protein_coding","cytochrome p450 79f1",NA,3383,1444,2673,118,736,2,"CYP79F1","List"
"PEPC1__AT1G17710","AT1G17710","turquoise","1",2.77981622109524,4.45336602539599,5.53306234516146,4.12234082545011,5.04214612393342,2.58647374483333,2,3.62502169321257,5.33181111183509,2.57384531726652,3.54560226389378,3.59499702430447,NA,"Chr1",6090405,NA,2,"protein_coding","Pyridoxal phosphate phosphatase-related protein",NA,1623,792,1541,158,280,4,"PEPC1","List"
"PGDH__AT1G17745","AT1G17745","turquoise","1",4.19678351271308,5.71013929122903,7.59002910860498,4.53391863648436,5.27569036457767,4.9581417141447,4.19717904383482,5.61543128961468,4.3125412629073,5.42890791071091,5.5475750650151,3.95867775465171,NA,"Chr1",6100964,NA,2,"protein_coding","D-3-phosphoglycerate dehydrogenase",NA,4384,1916,4306,168,315,4,"PGDH","List"
"__AT1G20070","AT1G20070","turquoise","1",7.17507325056083,4.51115701285999,6.29379154812273,6.7481231011355,6.80831871882133,7.52012998723223,7.6002723163245,7.58823423141359,7.72415504665205,7.85570518350301,6.78635837806845,6.76935950862205,NA,"Chr1",6958010,NA,1,"protein_coding","None",NA,1139,582,1139,323,234,1,"","List"
"EXPA11__AT1G20190","AT1G20190","turquoise","1",7.10667914785938,8.38541825493489,7.82886436693276,6.8475094717627,7.64303116566877,5.88686543942822,6.75473677161243,8.47177443714792,8.90721756648065,8.30665787449882,8.06775376829584,7.55164473158609,NA,"Chr1",6998335,NA,2,"protein_coding","expansin 11",NA,1505,670,1298,102,378,2,"EXPA11","List"
"EXT3__AT1G21310","AT1G21310","turquoise","1",4.11955207379279,5.43952130393009,6.94599443444021,5.61586956912023,5.85891156823628,5.91111809623212,5.91115976175433,6.5806971454844,7.5862868791843,5.21789081118474,6.00718589551115,6.10160902669922,NA,"Chr1",7453245,NA,1,"protein_coding","extensin 3",NA,1765,1296,1765,21,337,2,"EXT3","List"
"ATL15__AT1G22500","AT1G22500","turquoise","1",6.60993990728184,7.76816445128965,9.75988803829861,8.03747561273535,7.98275479487631,7.99881149496737,5.96736133381239,8.66788937073704,8.80122666135371,7.28012631057193,6.78635837806845,8.30287653383545,NA,"Chr1",7949476,NA,1,"protein_coding","RING/U-box superfamily protein",NA,1425,1146,1425,105,174,1,"ATL15","List"
"MLP423__AT1G24020","AT1G24020","turquoise","1",5.69471706557988,7.65094175108366,8.4790311220184,5.6980589898871,6.75775709193713,4.9108165423767,7.2499553845137,7.71958889234078,7.04544230218271,6.8744117999602,6.72785120645784,5.03872396709063,NA,"Chr1",8500119,NA,2,"protein_coding","MLP-like protein 423",NA,1947,468,1545,136,394,2,"MLP423","List"
"__AT1G24145","AT1G24145","turquoise","1",3.1341247006481,3.08354095880055,4.79130324000537,3.13609720467821,3.42689241641468,2.32283503130743,2.92330472536717,3.89134469342518,4.22779504668659,4.82905203815442,4.86910881543439,3.10756886818276,NA,"Chr1",8540838,NA,1,"protein_coding","None",NA,1216,387,1216,202,437,2,"","List"
"LpxC3__AT1G25054","AT1G25054","turquoise","1",2,2,2,2,2,2,2,2,7.3660609120723,2,2,7.37221311244988,NA,"Chr1",8804489,NA,1,"protein_coding","UDP-3-O-acyl N-acetylglycosamine deacetylase family protein",NA,1873,981,1873,NA,246,7,"LpxC3","List"
"LpxC4__AT1G25145","AT1G25145","turquoise","1",7.46772616530709,6.62805618083742,7.2078276519244,6.77361890449757,6.14122483558353,7.15414872815751,7.13197090420991,6.27376342919252,2.64781752454704,5.80166256324894,6.57027646996185,2,NA,"Chr1",8818867,NA,1,"protein_coding","UDP-3-O-acyl N-acetylglycosamine deacetylase family protein",NA,1870,981,1870,NA,243,7,"LpxC4","List"
"TEM1__AT1G25560","AT1G25560","turquoise","1",12.8960270351723,13.2890147109745,12.8728865030704,12.0487408501084,11.7711607557528,11.2230846373837,10.482964713236,11.5745105988154,11.6256728583627,12.8241930776306,12.7993402717535,12.6076065681191,NA,"Chr1",8981556,NA,1,"protein_coding","AP2/B3 transcription factor family protein",NA,1759,1086,1759,338,335,1,"TEM1","List"
"__AT1G26100","AT1G26100","turquoise","1",4.58937640951012,6.27466354365115,5.86168282738065,5.43595168780665,5.50757335474929,3.32464719552684,3.99573107495141,5.66368856718276,5.01523927388083,5.77617001480711,4.86910881543439,5.27219744987527,NA,"Chr1",9022542,NA,1,"protein_coding","Cytochrome b561/ferric reductase transmembrane protein family",NA,1540,711,1540,NA,174,4,"","List"
"__AT1G27020","AT1G27020","turquoise","1",7.74344919674134,8.78446420906657,10.2169905392242,7.68116737952045,8.28902879525796,8.08127759599264,7.33785364474726,9.52205454247717,8.54077714619199,7.57441581378107,7.89239861920325,7.75042208335976,NA,"Chr1",9378404,NA,1,"protein_coding","None",NA,2387,927,2387,231,371,7,"","List"
"__AT1G29490","AT1G29490","turquoise","1",3.28322502075617,4.0474850759855,3.18213132900177,3.13609720467821,4.48117788206641,3.17244286287282,2,3.03014819098821,3.09328457657443,4.72630482596946,4.8139262842062,4.49038760156021,NA,"Chr1",10319732,NA,1,"protein_coding","SAUR-like auxin-responsive protein family ",NA,671,309,671,103,259,1,"","List"
"__AT1G32928","AT1G32928","turquoise","1",7.6366253776841,8.36597292002085,7.99117709097439,7.15938049277131,6.92747442313968,6.17420275491435,5.44108490630726,7.62526050224333,7.3759404879028,7.5445289297146,6.90992026418527,6.78455171172533,NA,"Chr1",11931149,NA,1,"protein_coding","None",NA,653,255,653,183,215,1,"","List"
"__AT1G35290","AT1G35290","turquoise","1",2.30914208896315,4.0474850759855,4.49912666299884,3.54427291050152,3.96157220207526,3.00226627293868,3.13440010428144,4.53462852342197,4.67458805652285,5.21789081118474,3.67511088040822,4.06203920772612,NA,"Chr1",12947517,NA,1,"protein_coding","Thioesterase superfamily protein",NA,1333,570,1333,71,243,5,"","List"
"FANCM__AT1G35530","AT1G35530","turquoise","1",5.33355071055322,5.24886219622153,4.74653395598881,3.28535949585043,4.60074750766966,4.25150421382622,5.40083584620317,4.7285874639305,4.46841897190053,2.98329193367204,3.90373195300829,3.10756886818276,NA,"Chr1",13089816,NA,5,"protein_coding","DEAD/DEAH box RNA helicase family protein ",NA,7471,4061,7327,136,177,23,"FANCM","List"
"RAP2.6__AT1G43160","AT1G43160","turquoise","1",5.72109990278753,2.74117675152558,5.03415688291066,4.27296103902821,4.35079550323709,5.04837489878882,4.2882510506065,5.46014577861187,3.93884316736624,5.29171284297148,4.35408483118573,5.9209194674782,NA,"Chr1",16263805,NA,1,"protein_coding","related to AP2 6",NA,1141,579,1141,184,282,2,"RAP2.6","List"
"CYCA1__AT1G44110","AT1G44110","turquoise","1",5.40037789206646,6.66671337851695,7.13153406634106,5.11541313242777,5.99609826659362,3.70357668746633,3.99573107495141,6.84415587234184,5.15949140805196,5.69687280228347,5.64565031783099,3.95867775465171,NA,"Chr1",16774765,NA,1,"protein_coding","Cyclin A1",NA,2588,1383,2588,170,270,8,"CYCA1","List"
"__AT1G44608","AT1G44608","turquoise","1",4.03795121375176,3.22840460430044,2.88446378102758,3.8620682090579,4.28090168095409,4.86188614275457,3.76151728452404,2.70074190589114,2,2.31526807014754,2.86595017324234,4.69719682511661,NA,"Chr1",16875092,NA,1,"protein_coding","None",NA,1458,531,1458,291,157,2,"","List"
"__AT1G51790","AT1G51790","turquoise","1",2.56358909979754,3.36004036754744,5.14179647629672,2.30984126106683,3.77078041686956,3.46231534866231,3.31851396598422,5.12309200217924,4.22779504668659,2,3.79394532813317,2.65755872340552,NA,"Chr1",19206615,NA,3,"protein_coding","Leucine-rich repeat protein kinase family protein",NA,5357,2701,4941,529,179,13,"","List"
"IOS1__AT1G51800","AT1G51800","turquoise","1",2,4.3303381532077,5.10680141304747,3.54427291050152,2.97449553209416,2.32283503130743,2,6.31966555189821,5.6575624817953,2,2.86595017324234,2,NA,"Chr1",19214072,NA,1,"protein_coding","Leucine-rich repeat protein kinase family protein",NA,3982,2685,3982,131,220,12,"IOS1","List"
"__AT1G51820","AT1G51820","turquoise","1",2.56358909979754,4.45336602539599,5.17596273810333,3.28535949585043,2,2.32283503130743,2,5.61543128961468,6.05197195766464,2.57384531726652,2.86595017324234,2.65755872340552,NA,"Chr1",19237219,NA,2,"protein_coding","Leucine-rich repeat protein kinase family protein",NA,4747,2265,4702,390,148,14,"","List"
"__AT1G51830","AT1G51830","turquoise","1",2,3.22840460430044,4.60323348109286,3.42061666562067,3.29126817834303,3.32464719552684,2.3771994527339,6.24233002659087,4.6090849138859,2.79304560190314,2.63074070357094,3.10756886818276,NA,"Chr1",19242654,NA,2,"protein_coding","Leucine-rich repeat protein kinase family protein",NA,3501,2092,3388,123,330,11,"","List"
"__AT1G51840","AT1G51840","turquoise","1",2.56358909979754,3.08354095880055,4.20032636606769,2,2.78552167065742,3.17244286287282,2,5.28610722517646,4.39258434333166,2.79304560190314,2.86595017324234,3.28896552670609,NA,"Chr1",19249401,NA,5,"protein_coding","protein kinase-related",NA,1463,624,1449,457,45,3,"","List"
